ID;Subject_ID;Hierarchy_Level;School Code;Tests Taken;Score=1;Score=2;Score=3;Score=4;Score=5;% Score 1-2;% Score 3-5
277;0;0;08720605;     268;      63;      72;     106;      20;       7;  50,4;  49,6
278;0;0;07650505;      30;       3;       4;      12;       7;       4;  23,3;  76,7
279;0;0;08760605;     183;      46;      52;      44;      32;       9;  53,6;  46,4
280;0;0;07660505;     120;      19;      35;      23;      28;      15;  45,0;  55,0
281;0;0;07670505;     119;      33;      26;      28;      16;      16;  49,6;  50,4
282;0;0;02810475;      26;      12;       9;       3;       2;       0;  80,8;  19,2
283;0;0;02810510;     171;      66;      50;      43;       9;       3;  67,8;  32,2
284;0;0;02810320;      87;      48;      22;      15;       2;       0;  80,5;  19,5
285;0;0;02810620;     115;      52;      40;      16;       7;       0;  80,0;  20,0
286;0;0;02810500;     412;     144;     111;     103;      42;      12;  61,9;  38,1
287;0;0;02810530;     145;      89;      38;      16;       2;       0;  87,6;  12,4
288;0;0;02810205;     130;      78;      26;      15;       8;       3;  80,0;  20,0
289;0;0;04410505;     131;      72;      31;      17;      10;       1;  78,6;  21,4
290;0;0;02840505;     337;      59;      96;     100;      59;      23;  46,0;  54,0
291;0;0;02850505;     321;      75;      74;      77;      56;      39;  46,4;  53,6
292;0;0;02900510;     279;      50;      83;      74;      50;      22;  47,7;  52,3
293;0;0;02910505;     438;      45;      88;     125;     114;      66;  30,4;  69,6
294;0;0;02920505;     162;      30;      43;      48;      31;      10;  45,1;  54,9
295;0;0;39020900;      68;      13;      14;      20;      10;      11;  39,7;  60,3
296;0;0;07700505;     246;       6;      37;      83;      69;      51;  17,5;  82,5
297;0;0;07700605;      15;       0;       6;       4;       4;       1;  40,0;  60,0
298;0;0;02930505;     641;     178;     168;     175;      90;      30;  54,0;  46,0
299;0;0;02950505;     416;      45;      93;     122;      88;      68;  33,2;  66,8
300;0;0;08780605;     142;      42;      46;      31;      17;       6;  62,0;  38,0
301;0;0;07730505;     203;      21;      51;      55;      48;      28;  35,5;  64,5
302;0;0;03010505;     105;       6;      23;      31;      24;      21;  27,6;  72,4
303;0;0;08790605;      15;       2;       2;      10;       1;       0;  26,7;  73,3
304;0;0;03040505;     116;      20;      31;      37;      18;      10;  44,0;  56,0
305;0;0;07750505;     786;      22;     110;     192;     237;     225;  16,8;  83,2
306;0;0;03050505;     409;     116;      81;      89;      79;      44;  48,2;  51,8
307;0;0;03070505;     425;      11;      45;     102;     152;     115;  13,2;  86,8
308;0;0;03080505;     620;     118;     169;     151;     108;      74;  46,3;  53,7
309;0;0;03090505;      47;       7;      13;      17;       9;       1;  42,6;  57,4
310;0;0;03100505;      73;      37;      21;       9;       6;       0;  79,5;  20,5
311;0;0;03140505;     281;      32;      42;      79;      76;      52;  26,3;  73,7
312;0;0;03150505;     561;      11;      35;     111;     183;     221;   8,2;  91,8
313;0;0;03160505;      68;      18;      18;      15;      13;       4;  52,9;  47,1
314;0;0;03170505;     925;      16;      69;     151;     322;     367;   9,2;  90,8
315;0;0;03220505;      72;       5;      11;      27;      17;      12;  22,2;  77,8
316;0;0;03230505;     203;      29;      86;      60;      19;       9;  56,7;  43,3
317;0;0;03320505;     480;      73;     109;     167;      88;      43;  37,9;  62,1
318;0;0;03210505;     628;      10;      66;     118;     224;     210;  12,1;  87,9
319;0;0;03250505;     216;      56;      63;      50;      33;      14;  55,1;  44,9
320;0;0;03260505;   1063;      21;      77;     192;     359;     414;   9,2;  90,8
321;0;0;03300505;     610;      21;      61;     137;     162;     229;  13,4;  86,6
322;0;0;03310515;      82;      20;      19;      23;      13;       7;  47,6;  52,4
323;0;0;03350505;     841;      17;      85;     190;     255;     294;  12,1;  87,9
324;0;0;03360505;     555;      54;      94;     169;     164;      74;  26,7;  73,3
325;0;0;07800505;     458;      61;     120;     127;     106;      44;  39,5;  60,5
326;0;0;08850605;      48;      14;      15;      15;       3;       1;  60,4;  39,6
327;0;0;03420505;     403;      45;      83;     108;      94;      73;  31,8;  68,2
328;0;0;03430515;      53;      10;      16;      10;      14;       3;  49,1;  50,9
329;0;0;03440505;   1165;      28;     115;     289;     365;     368;  12,3;  87,7
330;0;0;03460505;     319;     157;      76;      54;      29;       3;  73,0;  27,0
331;0;0;03470505;     397;     103;      68;     108;      79;      39;  43,1;  56,9
332;0;0;03480503;     396;     160;      96;      70;      49;      21;  64,6;  35,4
333;0;0;03480350;     117;      95;       2;      10;       6;       4;  82,9;  17,1
334;0;0;03480512;     513;     176;     111;     118;      71;      37;  55,9;  44,1
335;0;0;03480515;     249;     141;      67;      26;      12;       3;  83,5;  16,5
336;0;0;03480520;     618;     153;     142;     156;     101;      66;  47,7;  52,3
337;0;0;03480285;      72;      33;      18;      16;       4;       1;  70,8;  29,2
338;0;0;03480605;     318;     102;     122;      50;      34;      10;  70,4;  29,6
339;1;1;00010505;       2;;;;;;;
340;1;1;06000505;       1;;;;;;;
341;1;1;04300305;       6;;;;;;;
342;1;1;00070505;       8;;;;;;;
343;1;1;00090505;       4;;;;;;;
344;1;1;00100505;      17;       0;       0;      10;       5;       2;    ,0; 100,0
345;1;1;06100505;       9;;;;;;;
346;1;1;00140505;       6;;;;;;;
347;1;1;00160505;       7;;;;;;;
348;1;1;00170505;       8;;;;;;;
349;1;1;00200505;       9;;;;;;;
350;1;1;00230505;       3;;;;;;;
351;1;1;00240505;       3;;;;;;;
352;1;1;00260505;      25;       0;       0;       4;      12;       9;    ,0; 100,0
353;1;1;00300505;      12;       0;       3;       5;       1;       3;  25,0;  75,0
354;1;1;00310505;       1;;;;;;;
355;1;1;08050605;       8;;;;;;;
356;1;1;06220505;       1;;;;;;;
357;1;1;00350541;       7;;;;;;;
358;1;1;00350560;      46;       0;       9;      20;      12;       5;  19,6;  80,4
359;1;1;00350505;       5;;;;;;;
360;1;1;00350657;       3;;;;;;;
361;1;1;04490305;      16;       0;       5;       7;       3;       1;  31,3;  68,8
362;1;1;00400505;      17;       0;       1;       6;       8;       2;   5,9;  94,1
363;1;1;06250505;       6;;;;;;;
364;1;1;00440505;      12;       0;       2;       4;       4;       2;  16,7;  83,3
365;1;1;00460505;      39;       0;       5;      11;      13;      10;  12,8;  87,2
366;1;1;00480505;       7;;;;;;;
367;1;1;00490506;      18;       0;       0;       2;       9;       7;    ,0; 100,0
368;1;1;00500505;       8;;;;;;;
369;1;1;06350505;       2;;;;;;;
370;1;1;00560505;       1;;;;;;;
371;1;1;00570505;       4;;;;;;;
372;1;1;06400505;       8;;;;;;;
373;1;1;00710505;      37;       2;       6;      15;       8;       6;  21,6;  78,4
374;1;1;00720505;      12;       0;       0;       4;       7;       1;    ,0; 100,0
375;1;1;00730505;       5;;;;;;;
376;1;1;06450505;      16;       1;       3;       6;       6;       0;  25,0;  75,0
377;1;1;06500505;       2;;;;;;;
378;1;1;06550505;      11;       0;       2;       5;       2;       2;  18,2;  81,8
379;1;1;06580505;      10;       6;       3;       1;       0;       0;  90,0;  10,0
380;1;1;00820505;      15;       0;       2;       7;       5;       1;  13,3;  86,7
381;1;1;00830505;       5;;;;;;;
382;1;1;00880505;      12;       0;       4;       5;       2;       1;  33,3;  66,7
383;1;1;04100205;       8;;;;;;;
384;1;1;00940505;       9;;;;;;;
385;1;1;00950505;       3;;;;;;;
386;1;1;00960505;      18;       0;       2;       8;       7;       1;  11,1;  88,9
387;1;1;00970505;      13;       5;       2;       4;       2;       0;  53,8;  46,2
388;1;1;00990505;      12;       0;       0;       4;       5;       3;    ,0; 100,0
389;1;1;04460550;       6;;;;;;;
390;1;1;01000515;      26;       0;       3;       7;       7;       9;  11,5;  88,5
391;1;1;01010505;      30;       0;       0;      14;       9;       7;    ,0; 100,0
392;1;1;06650505;       4;;;;;;;
393;1;1;01030505;       4;;;;;;;
394;1;1;08280605;       5;;;;;;;
395;1;1;06730505;      11;       0;       2;       4;       5;       0;  18,2;  81,8
396;1;1;06750505;       1;;;;;;;
397;1;1;06800505;       7;;;;;;;
398;1;1;01220505;      20;       0;       6;       8;       5;       1;  30,0;  70,0
399;1;1;01250505;       1;;;;;;;
400;1;1;01270505;       1;;;;;;;
401;1;1;01280505;       4;;;;;;;
402;1;1;01310505;       7;;;;;;;
403;1;1;01360505;       4;;;;;;;
404;1;1;01390505;       9;;;;;;;
405;1;1;01410505;       5;;;;;;;
406;1;1;01420505;       1;;;;;;;
407;1;1;04290010;       8;;;;;;;
408;1;1;06900505;      21;       1;       4;      11;       5;       0;  23,8;  76,2
409;1;1;01520505;       3;;;;;;;
410;1;1;01530505;       2;;;;;;;
411;1;1;01550505;      52;       0;       2;      11;      18;      21;   3,8;  96,2
412;1;1;06950505;      13;       0;       1;       4;       8;       0;   7,7;  92,3
413;1;1;01580505;       5;;;;;;;
414;1;1;01590505;      22;       1;       1;      12;       7;       1;   9,1;  90,9
415;1;1;01610505;      10;       0;       0;       6;       4;       0;    ,0; 100,0
416;1;1;01620505;       3;;;;;;;
417;1;1;01630505;      15;       0;       3;       6;       4;       2;  20,0;  80,0
418;1;1;01640505;       4;;;;;;;
419;1;1;04680505;       1;;;;;;;
420;1;1;01650505;       1;;;;;;;
421;1;1;06980510;      14;       0;       0;      10;       4;       0;    ,0; 100,0
422;1;1;01670505;       7;;;;;;;
423;1;1;01680505;       6;;;;;;;
424;1;1;01700505;       4;;;;;;;
425;1;1;01710505;      58;       1;      11;      35;       9;       2;  20,7;  79,3
426;1;1;07000505;       6;;;;;;;
427;1;1;07050505;      21;       0;       0;       0;       5;      16;    ,0; 100,0
428;1;1;01720505;      17;       0;       4;       8;       5;       0;  23,5;  76,5
429;1;1;01750505;      18;       0;       5;       9;       3;       1;  27,8;  72,2
430;1;1;01760505;       6;;;;;;;
431;1;1;01770505;       1;;;;;;;
432;1;1;01780505;      16;       2;       5;       5;       3;       1;  43,8;  56,3
433;1;1;07100510;       7;;;;;;;
434;1;1;01810505;       3;;;;;;;
435;1;1;01820505;       9;;;;;;;
436;1;1;01850505;       7;;;;;;;
437;1;1;01860505;       2;;;;;;;
438;1;1;01870505;       4;;;;;;;
439;1;1;01890505;      26;       1;       4;      14;       5;       2;  19,2;  80,8
440;1;1;07120515;       5;;;;;;;
441;1;1;07150505;       1;;;;;;;
442;1;1;01970505;       1;;;;;;;
443;1;1;07250505;       7;;;;;;;
444;1;1;01980505;      10;       0;       1;       1;       3;       5;  10,0;  90,0
445;1;1;01990505;      20;       0;       2;       5;      10;       3;  10,0;  90,0
446;1;1;02010505;       4;;;;;;;
447;1;1;02040505;      11;       0;       2;       7;       1;       1;  18,2;  81,8
448;1;1;02070505;      12;       0;       1;       2;       3;       6;   8,3;  91,7
449;1;1;02070510;      31;       1;       4;       9;      11;       6;  16,1;  83,9
450;1;1;02090505;       3;;;;;;;
451;1;1;02110505;      10;       0;       1;       4;       3;       2;  10,0;  90,0
452;1;1;02150505;       6;;;;;;;
453;1;1;07300505;      20;       0;       4;       7;       7;       2;  20,0;  80,0
454;1;1;02140505;       5;;;;;;;
455;1;1;02180505;       1;;;;;;;
456;1;1;02190505;      26;       0;       0;      19;       7;       0;    ,0; 100,0
457;1;1;02200505;      12;       0;       5;       2;       3;       2;  41,7;  58,3
458;1;1;07400505;       8;;;;;;;
459;1;1;02260505;       5;;;;;;;
460;1;1;02290510;       4;;;;;;;
461;1;1;02310505;      10;       0;       1;       5;       2;       2;  10,0;  90,0
462;1;1;07450505;       1;;;;;;;
463;1;1;35060505;       7;;;;;;;
464;1;1;07500505;       1;;;;;;;
465;1;1;04790505;       1;;;;;;;
466;1;1;02360505;      11;       1;       6;       1;       2;       1;  63,6;  36,4
467;1;1;02360510;       5;;;;;;;
468;1;1;02390505;      17;       0;       3;       7;       6;       1;  17,6;  82,4
469;1;1;02390515;      10;       0;       1;       5;       4;       0;  10,0;  90,0
470;1;1;07780505;       7;;;;;;;
471;1;1;02430510;       6;;;;;;;
472;1;1;02430505;       8;;;;;;;
473;1;1;07550505;       4;;;;;;;
474;1;1;02440505;       6;;;;;;;
475;1;1;02460505;       8;;;;;;;
476;1;1;02520510;       7;;;;;;;
477;1;1;02580505;       5;;;;;;;
478;1;1;04850485;      11;       1;       2;       6;       1;       1;  27,3;  72,7
479;1;1;02640505;      12;       0;       1;       5;       5;       1;   8,3;  91,7
480;1;1;02660505;      15;       0;       2;       5;       5;       3;  13,3;  86,7
481;1;1;02710505;      11;       0;       0;       2;       4;       5;    ,0; 100,0
482;1;1;07630505;      15;       0;       0;       3;      10;       2;    ,0; 100,0
483;1;1;02780505;       4;;;;;;;
484;1;1;02810475;       5;;;;;;;
485;1;1;02810510;       5;;;;;;;
486;1;1;02810620;      10;       7;       2;       1;       0;       0;  90,0;  10,0
487;1;1;02810500;       5;;;;;;;
488;1;1;02810530;      21;       3;      11;       6;       1;       0;  66,7;  33,3
489;1;1;02910505;       8;;;;;;;
490;1;1;02920505;       5;;;;;;;
491;1;1;39020900;       1;;;;;;;
492;1;1;07700505;      12;       0;       3;       4;       4;       1;  25,0;  75,0
493;1;1;02930505;       5;;;;;;;
494;1;1;07750505;      15;       1;       2;       4;       8;       0;  20,0;  80,0
495;1;1;03050505;      11;       0;       1;       3;       6;       1;   9,1;  90,9
496;1;1;03070505;       4;;;;;;;
497;1;1;03080505;      11;       0;       0;       6;       3;       2;    ,0; 100,0
498;1;1;03100505;       9;;;;;;;
499;1;1;03140505;       8;;;;;;;
